Heart_Rate,Acceleration,SpO2,Temperature,Predicted_Sleep_Stage
101,0.69,94,36.7,Awake
86,0.15,97,36.3,REM
77,0.0,97,36.2,Deep Sleep
76,0.2,98,36.3,REM
83,0.13,97,36.5,REM
97,0.92,94,36.5,Awake
62,0.0,96,35.9,Deep Sleep
78,0.25,96,36.3,REM
108,0.96,96,36.6,Awake
80,0.0,100,36.1,Deep Sleep
74,0.11,98,36.1,Light Sleep
92,0.87,96,36.5,Awake
76,0.2,99,36.2,REM
95,0.24,96,36.5,REM
86,0.17,99,36.1,Light Sleep
97,0.34,95,36.5,Awake
60,0.02,98,35.8,Deep Sleep
95,1.22,92,36.8,Sleep Disturbance
96,0.99,95,36.4,Awake
114,1.03,90,36.9,Sleep Disturbance
120,0.66,90,37.0,Sleep Disturbance
87,0.11,95,36.0,Light Sleep
90,0.14,96,36.4,REM
113,1.25,90,36.7,Sleep Disturbance
85,0.2,98,36.4,REM
106,1.14,93,36.7,Sleep Disturbance
79,0.01,96,36.1,Deep Sleep
90,1.32,94,36.8,Sleep Disturbance
85,0.98,98,36.6,Awake
97,1.39,93,36.8,Sleep Disturbance
73,0.04,99,35.8,Deep Sleep
79,0.17,97,36.0,Light Sleep
89,0.2,95,36.1,REM
90,0.18,99,36.4,REM
114,1.3,90,36.9,Sleep Disturbance
74,0.2,98,36.1,Light Sleep
94,0.28,99,36.5,REM
71,0.04,100,36.0,Deep Sleep
82,0.08,95,36.2,Light Sleep
87,0.75,96,36.8,Awake
89,0.14,97,36.3,REM
67,0.03,100,36.1,Deep Sleep
116,1.05,93,36.6,Sleep Disturbance
66,0.03,97,36.0,Deep Sleep
100,0.84,92,36.5,Sleep Disturbance
64,0.01,96,35.9,Deep Sleep
81,0.25,97,36.1,REM
89,0.16,95,36.2,Light Sleep
68,0.01,98,36.2,Deep Sleep
81,0.16,99,36.3,Light Sleep
83,0.16,96,36.2,Light Sleep
117,0.94,94,36.7,Sleep Disturbance
91,0.29,98,36.4,REM
94,0.87,92,36.8,Sleep Disturbance
74,0.1,95,36.0,Light Sleep
92,0.67,95,36.6,Awake
83,0.17,95,36.2,Light Sleep
111,1.43,90,36.5,Sleep Disturbance
84,0.16,95,36.3,Light Sleep
84,0.16,99,36.1,Light Sleep
79,0.02,96,36.2,Deep Sleep
94,0.67,94,36.4,Awake
91,0.36,95,36.5,Awake
68,0.03,98,36.2,Deep Sleep
75,0.02,100,35.9,Deep Sleep
116,1.13,95,36.7,Sleep Disturbance
79,0.14,96,36.2,Light Sleep
104,0.73,92,36.5,Sleep Disturbance
94,0.34,96,36.7,Awake
89,0.16,97,36.4,Light Sleep
79,0.11,99,36.4,REM
68,0.05,100,36.1,Deep Sleep
88,0.09,99,36.2,Light Sleep
86,0.19,95,36.2,Light Sleep
82,0.2,97,36.4,Light Sleep
104,1.22,94,36.7,Sleep Disturbance
63,0.0,98,36.0,Deep Sleep
89,0.97,94,36.6,Awake
105,1.35,90,36.9,Sleep Disturbance
76,0.16,98,36.3,Light Sleep
114,1.36,91,36.8,Sleep Disturbance
70,0.0,99,36.1,Deep Sleep
80,0.11,98,36.2,REM
71,0.07,98,36.1,Light Sleep
81,0.23,97,36.4,REM
72,0.06,96,36.0,Light Sleep
73,0.17,98,36.1,Light Sleep
83,0.09,98,36.2,Light Sleep
117,0.8,95,36.5,Sleep Disturbance
106,0.97,96,36.8,Awake
86,0.57,97,36.7,Awake
85,0.7,98,36.6,Awake
115,1.31,95,36.9,Sleep Disturbance
66,0.01,98,36.1,Deep Sleep
90,0.14,99,36.0,Light Sleep
80,0.17,96,36.0,Light Sleep
93,1.02,95,36.5,Sleep Disturbance
105,0.41,97,36.6,Awake
103,0.63,98,36.8,Awake
103,0.87,98,36.5,Awake
79,0.03,99,36.1,Deep Sleep
89,0.29,95,36.4,REM
92,0.18,96,36.1,REM
112,0.81,91,36.6,Sleep Disturbance
106,0.96,94,36.6,Awake
85,0.19,97,36.3,Light Sleep
61,0.01,97,36.0,Deep Sleep
110,0.34,94,36.7,Awake
119,1.18,93,36.9,Sleep Disturbance
79,0.13,98,36.3,Light Sleep
79,0.17,97,36.3,REM
88,0.93,98,36.8,Awake
82,0.1,98,36.5,REM
62,0.03,100,36.1,Deep Sleep
113,1.44,93,36.7,Sleep Disturbance
89,0.18,99,36.1,REM
91,0.83,94,36.5,Awake
76,0.01,99,36.0,Deep Sleep
83,0.12,97,36.1,Light Sleep
86,0.2,95,36.3,REM
100,0.34,95,36.7,Awake
79,0.28,95,36.3,REM
96,0.46,96,36.4,Awake
87,0.26,97,36.3,REM
70,0.08,99,36.2,Light Sleep
76,0.14,97,36.4,REM
80,0.08,98,36.2,Light Sleep
85,0.2,98,36.5,REM
95,0.6,92,36.8,Sleep Disturbance
76,0.03,96,35.9,Deep Sleep
88,0.47,98,36.5,Awake
88,0.05,99,36.3,Light Sleep
63,0.04,96,36.2,Deep Sleep
77,0.21,95,36.3,REM
105,0.79,95,36.5,Sleep Disturbance
96,0.54,90,36.8,Sleep Disturbance
60,0.03,100,35.9,Deep Sleep
93,0.34,97,36.6,Awake
66,0.03,98,36.0,Deep Sleep
101,0.53,92,36.8,Sleep Disturbance
71,0.04,100,35.9,Deep Sleep
92,0.88,98,36.4,Awake
86,0.7,94,36.4,Awake
66,0.05,96,35.9,Deep Sleep
102,0.93,94,36.7,Awake
93,0.5,95,36.8,Awake
81,0.2,99,36.3,REM
65,0.01,97,36.2,Deep Sleep
68,0.03,100,36.0,Deep Sleep
77,0.14,97,36.3,REM
106,0.4,98,36.6,Awake
94,0.58,97,36.5,Awake
83,0.2,99,36.0,Light Sleep
104,1.42,90,36.8,Sleep Disturbance
82,0.23,97,36.3,REM
93,0.43,94,36.5,Awake
91,0.29,98,36.5,REM
61,0.03,96,35.8,Deep Sleep
93,0.16,97,36.5,REM
83,0.14,95,36.3,REM
64,0.01,100,36.0,Deep Sleep
77,0.25,96,36.3,REM
102,0.46,97,36.6,Awake
69,0.01,100,36.1,Deep Sleep
